uvrstitev,avtor,naslov,mesec_izdaje,leto_izdaje,format
274,Douglas Adams,Dirk Gently&#039;s Holistic Detective Agency,Dec,2012,Paperback
275,Jane Fallon,Faking Friends,Jan,2018,Paperback
276,Allen Carr,Allen Carr&#039;s Easy Way to Stop Smoking,Sep,2015,Paperback
278,Anne Frank,The Diary of a Young Girl,Feb,2002,Paperback
279,Jennifer Niven,All the Bright Places,Aug,2015,Paperback
280,Diana Wynne Jones,Howl&#039;s Moving Castle,Sep,2011,Paperback
281,Dr. Seuss,"Oh, The Places You&#039;ll Go",Mar,2011,Paperback
282,Joan Didion,The Year of Magical Thinking,Aug,2011,Paperback
283,Oliver Jeffers,Stuck,May,2012,Paperback
284,Leigh Bardugo,Six of Crows,Jun,2016,Paperback
285,Atticus Poetry,Love Her Wild,Jul,2017,Hardback
286,Kristin Hannah,The Nightingale,Jul,2015,Paperback
287,J. K. Rowling,Harry Potter and the Chamber of Secrets,Oct,2014,Paperback
288,Edgar Allan Poe,The Complete Poetry Of Edgar Allan Poe,Nov,2009,Paperback
289,M. a. S. Abdel Haleem,The Qur&#039;an,Sep,2008,Paperback
290,Mem Fox,Possum Magic,Sep,1991,Paperback
291,Keri Smith,Wreck This Journal,Nov,2014,Paperback
292,Angela Carter,The Bloody Chamber And Other Stories,Oct,2009,Paperback
293,David Walliams,Bad Dad,Nov,2017,Hardback
295,Linda Green,While My Eyes Were Closed,May,2016,Paperback
296,Julia Cameron,The Artist&#039;s Way,Nov,2016,Paperback
297,Andy Tudor,100 Paper Planes to Fold and Fly,Mar,2014,Paperback
298,Johann Hari,Lost Connections,Jan,2018,Hardback
300,Andrea Beaty,"Iggy Peck, Architect",Oct,2007,Hardback
301,Wizards of the Coast,Dungeon Master&#039;s Guide (Dungeons &amp; Dragons Core Rulebooks),Jul,2016,Hardback
302,Carrie Hope Fletcher,On the Other Side,Feb,2017,Paperback
303,C. J. Tudor,The Chalk Man,Jan,2018,Hardback
304,Lee Child,The Midnight Line,Nov,2017,Paperback
305,Jordan B. Peterson,Maps of Meaning,Apr,1999,Paperback
306,Katharine Graham,Personal History: Katharine Graham,Mar,1998,Paperback
307,Edith Eger,The Choice,Sep,2017,Paperback
308,John Douglas,Mindhunter,Nov,2017,Paperback
309,Timothy Ferriss,Tools of Titans,Dec,2016,Paperback
311,Pierce Brown,Iron Gold,Jan,2018,Hardback
312,Dawn Huebner,What to Do When Your Temper Flares,Nov,2007,Paperback
313,Anthony F. T. Brown,Marshall &amp; Ruedy&#039;s On Call: Principles &amp; Protocols,Nov,2017,Paperback
314,Laura Markham,"Peaceful Parent, Happy Kids",Jan,2013,Paperback
315,Philip Pullman,The Book of Dust Volume One,Oct,2017,Hardback
316,Daphne du Maurier,Frenchman&#039;s Creek,Jul,2015,Paperback
317,S. E. Hinton,The Outsiders,Dec,1998,Paperback
318,Robert B. Cialdini,influence,Jul,2011,Paperback
319,Anthony Doerr,All the Light We Cannot See,May,2015,Paperback
